PLAYERS,LEAGUE,POSITION,TEAM,MATCHES_PLAYED,MINUTES_PLAYED,DISTANCE_COVERED,DISTANCE_COVERED_IN_POSSESSION,DISTANCE_COVERED_NOT_IN_POSSESSION,TOP_SPEED,TOTAL_GOALS_SCORED,OFFSIDES,SOLO_RUNS_INTO_AREA,LOST_BALLS,DELIVERIES_IN_PENALTY_AREA,TACKLES,TACKLES_SUFFERED,TACKLES_WON,ATTEMPTED_CLEARANCES,CLEARANCE_RATE,SAVES,BLOCKS,RECOVERED_BALLS,YELLOW_CARDS,SECOND_YELLOW_CARD_AND_RED_CARD,RED_CARDS,FOULS_COMMITTED,FOULS_SUFFERED,FOULS_CAUSING_A_PENALTY,ASSISTS,PENALTIES_SCORED,GOALS_SCORED_WITH_THE_LEFT_FOOT,GOALS_SCORED_WITH_THE_RIGHT_FOOT,HEADED_GOALS,SHOTS,ATTEMPTS_ON_TARGET,ATTEMPTS_OFF-TARGET,WOODWORK,TOTAL_PASSES,PASSES_COMPLETED,PASSES_COMPLETED_PERCENT,CROSSES,CROSSES_COMPLETED,CROSSES_COMPLETED_PERCENT,CORNERS,THROW-INS,THROW-INS_COMPLETED
Juwon OSHANIWA,WC Players,D,Nigeria,4,360,38.1,14,14.1,28.1,,,,,,,,2,5,1,0,2,18,1,0,0,7,4,0,,,,,,,,,,156,111,0.71,7,2,0.29,0,32,14
Matt BESLER,WC Players,D,USA,4,346,37.9,11.3,15.5,29.1,,,,,,,,2,12,0.5,0,3,26,0,0,0,1,5,0,,,,,,,,,,186,156,0.84,1,1,1,0,3,2
Alejandro BEDOYA,WC Players,M,USA,4,285,37.8,11.9,15.1,32.3,,,,,,,,2,1,,0,1,5,0,0,0,7,1,0,,,,,,3,2,1,0,120,91,0.76,5,0,,3,3,1
Rafael MARQUEZ,WC Players,D,Mexico,4,360,37.4,11.5,13.5,28.9,1,0,0,27,2,8,1,0,13,0.77,0,2,27,2,0,0,3,5,1,1,0,0,0,1,3,1,2,0,225,177,0.79,1,1,1,0,1,0
Sokratis PAPASTATHOPOULOS,WC Players,D,Greece,4,390,37.4,11.3,13.1,31,1,0,0,26,1,5,3,2,14,0.86,0,2,21,1,0,0,5,5,0,0,0,0,1,0,2,1,1,0,160,128,0.8,0,0,,0,2,0
Mario YEPES,WC Players,D,Colombia,4,360,37.3,10.9,12.8,31.6,,,,,,,,3,13,0.85,0,4,22,1,0,0,2,2,0,,,,,,2,1,1,0,126,102,0.81,0,0,,0,0,0
Oscar DUARTE,WC Players,D,Costa Rica,4,336,37.2,10.4,14.3,29.1,1,0,0,18,0,8,1,3,1,1,0,2,18,0,1,0,9,2,0,0,0,0,0,1,3,2,1,0,179,146,0.82,2,0,,0,1,1
Jasper CILLESSEN,WC Players,G,Netherlands,7,690,37.1,13.5,12.4,22.3,,,,,,,,0,5,1,18,0,0,0,0,0,0,1,0,,,,,,,,,,239,167,0.7,0,0,,0,66,32
Cristian ZAPATA,WC Players,D,Colombia,4,360,36.9,10.9,12.4,31.4,,,,,,,,1,7,0.72,0,4,24,0,0,0,4,4,0,,,,,,2,1,1,0,135,108,0.8,0,0,,0,4,1
Cristian RODRIGUEZ,WC Players,M,Uruguay,4,334,36.6,10.3,12.9,32,,,,,,,,1,7,0.86,0,0,11,0,0,0,5,10,0,,,,,,4,2,2,0,147,102,0.69,3,1,0.33,1,0,0
Juan ZUNIGA,WC Players,D,Colombia,4,360,36.5,11.8,12.2,30.5,,,,,,,,1,3,1,0,0,17,0,0,0,4,14,0,,,,,,2,1,1,0,203,150,0.74,3,1,0.33,0,34,17
Yohan CABAYE,WC Players,M,France,4,318,36.5,12.7,13.9,28,,,,,,,,3,5,0.6,0,2,24,2,0,0,9,3,0,,,,,,5,0,5,2,225,194,0.86,3,2,0.67,0,1,0
Ogenyi ONAZI,WC Players,M,Nigeria,4,329,36.5,12.8,14.5,30.9,,,,,,,,2,2,1,0,0,27,0,0,0,7,6,0,,,,,,12,6,6,0,239,193,0.81,5,2,0.4,0,1,0
Mario GOETZE,WC Players,F,Germany,6,258,36.3,16.3,11.8,29.2,2,0,7,30,1,4,8,2,2,0.5,0,0,8,0,0,0,6,4,0,0,0,2,0,0,9,7,2,0,153,111,0.73,7,3,0.43,0,1,1
Patrice EVRA,WC Players,D,France,4,360,36.3,12.6,12.9,29.2,,,,,,,,2,3,1,0,0,20,1,0,0,5,6,0,,,,,,1,0,1,0,206,149,0.72,12,5,0.42,0,33,19
Diego GODIN,WC Players,D,Uruguay,4,360,36.2,9.4,12.9,30.9,1,1,1,18,2,10,1,2,12,0.67,0,3,26,1,0,0,6,9,0,0,0,0,0,1,2,1,1,0,128,100,0.78,0,0,,0,0,0
Islam SLIMANI,WC Players,F,Algeria,4,324,35.9,10.8,13.7,30,2,2,2,38,0,3,8,0,3,0.67,0,1,3,0,0,0,8,2,0,1,0,1,0,1,9,7,2,0,98,62,0.63,1,0,,0,0,0
Victor FAYZULIN,WC Players,M,Russia,3,270,35.8,13.5,13.3,29.1,,,,,,,,0,2,1,0,0,9,0,0,0,1,7,0,,,,,,4,3,1,0,172,139,0.81,7,3,0.43,0,3,3
Kenneth OMERUO,WC Players,D,Nigeria,4,360,35.7,11.8,13.9,30.7,,,,,,,,3,14,1,0,3,29,1,0,0,3,3,0,,,,,,,,,,179,144,0.8,0,0,,0,2,0
Konstantinos MANOLAS,WC Players,D,Greece,4,390,35.7,10.2,12.9,30.5,,,,,,,,1,11,0.82,0,3,18,1,0,0,6,6,0,,,,,,1,0,1,0,128,108,0.84,0,0,,0,1,1
Antoine GRIEZMANN,WC Players,F,France,5,295,35.6,15.1,10.8,29.4,,,,,,,,,,,,,,0,0,0,3,4,0,,,,,,7,4,3,1,135,97,0.72,16,9,0.56,7,1,1
Geoff CAMERON,WC Players,D,USA,3,300,35.6,11.4,13.3,27.6,,,,,,,,1,6,0.67,0,7,21,1,0,0,3,4,0,,,,,,,,,,174,122,0.7,2,1,0.5,0,0,0
Mile JEDINAK,WC Players,M,Australia,3,270,35.4,11.1,15.5,29.1,1,0,0,18,0,4,1,2,0,,0,0,18,2,0,0,6,4,0,0,1,0,1,0,2,2,0,0,159,125,0.79,0,0,,0,2,1
Alexander KOKORIN,WC Players,F,Russia,3,270,35.3,13.3,12.7,29,1,1,0,21,1,3,5,1,1,1,0,0,4,0,0,0,9,2,0,0,0,0,0,1,8,3,5,0,80,56,0.7,2,1,0.5,0,0,0
Fabian JOHNSON,WC Players,D,USA,4,302,34.9,10.6,15,33,,,,,,,,0,4,0.75,0,2,10,0,0,0,1,4,0,,,,,,2,1,1,0,135,97,0.72,5,0,,0,31,18
Muhamed BESIC,WC Players,D,Bosnia-Hercegovina,3,270,34.9,13.4,13.3,31.2,,,,,,,,4,3,0.34,0,0,21,1,0,0,10,2,0,,,,,,4,1,3,0,245,212,0.87,0,0,,0,0,0
FERNANDINHO,WC Players,M,Brazil,5,296,34.8,11.6,12,30.5,1,0,0,20,3,17,2,7,9,0.67,0,1,28,1,0,0,14,7,0,0,0,0,1,0,4,2,2,0,155,131,0.85,3,1,0.33,0,0,0
KOO Jacheol,WC Players,F,South Korea,3,270,34.7,12.7,11.7,28,1,2,2,22,3,8,7,1,2,1,0,0,7,1,0,0,5,6,0,0,0,1,0,0,6,5,1,0,127,96,0.76,0,0,,0,2,2
Miralem PJANIC,WC Players,M,Bosnia-Hercegovina,3,270,34.5,14.4,12,28.7,1,1,0,20,9,2,6,1,0,,0,0,9,0,0,0,2,7,0,1,0,0,1,0,7,6,1,0,227,190,0.84,17,10,0.59,13,3,3
Nabil BENTALEB,WC Players,M,Algeria,3,270,34.3,10.7,14.4,31,,,,,,,,2,3,0.67,0,1,16,1,0,0,3,1,0,,,,,,2,1,1,0,138,112,0.81,3,0,,0,0,0
Ahmed MUSA,WC Players,F,Nigeria,4,335,34.2,12.6,12.5,31.2,2,1,4,30,2,5,9,3,0,,0,0,8,0,0,0,3,2,0,0,0,0,2,0,8,7,1,0,93,42,0.45,21,2,0.1,12,2,1
Yuto NAGATOMO,WC Players,D,Japan,3,270,33.7,13.2,11.1,31.1,,,,,,,,0,1,,0,0,11,0,0,0,5,1,0,,,,,,2,2,0,0,162,117,0.72,16,5,0.31,2,28,16
Graham ZUSI,WC Players,M,USA,4,259,33.7,11.4,13.8,30.1,,,,,,,,3,2,1,0,0,7,0,0,0,2,3,0,,,,,,2,1,1,0,133,91,0.68,14,3,0.21,11,4,3
Kyle BECKERMAN,WC Players,M,USA,3,270,33.4,9.6,14.9,26.3,,,,,,,,8,6,0.84,0,0,14,1,0,0,6,4,0,,,,,,1,1,0,0,152,135,0.89,0,0,,0,0,0
Alexander SAMEDOV,WC Players,M,Russia,3,270,33.3,12.5,12.2,29.8,,,,,,,,0,0,,0,0,8,0,0,0,1,6,0,,,,,,2,1,1,0,158,100,0.63,24,3,0.13,4,11,9
Peter ODEMWINGIE,WC Players,F,Nigeria,4,281,33.1,11.3,12.2,31.6,1,0,0,29,3,9,7,5,6,0.84,0,0,10,0,0,0,8,4,0,0,0,0,1,0,7,5,2,0,134,101,0.75,13,3,0.23,6,1,1
Joao MOUTINHO,WC Players,M,Portugal,3,270,32.9,11.5,12.2,27,,,,,,,,1,1,,0,1,14,1,0,0,6,5,0,,,,,,2,0,2,0,223,190,0.85,8,1,0.13,7,1,0
RAMIRES,WC Players,M,Brazil,7,247,32.9,12.1,11.7,31.1,,,,,,,,1,3,1,0,0,5,1,0,0,9,6,0,,,,,,6,4,2,0,91,64,0.7,5,0,,1,0,0
Andranik TIMOTIAN,WC Players,M,Iran,3,270,32.8,7.5,15.9,30.2,,,,,,,,4,4,0.25,0,0,18,1,0,0,12,3,0,,,,,,2,1,1,0,104,72,0.69,5,1,0.2,3,3,3
Mathew LECKIE,WC Players,F,Australia,3,270,32.8,10.2,14.3,31.4,,,,,,,,1,0,,0,1,13,0,0,0,4,5,0,,,,,,5,3,2,0,106,79,0.75,5,2,0.4,0,2,2
Jason DAVIDSON,WC Players,D,Australia,3,270,32.8,10.6,14.7,30.9,,,,,,,,0,1,1,0,4,16,0,0,0,7,5,0,,,,,,,,,,172,116,0.67,13,4,0.31,0,32,17
Dmitry KOMBAROV,WC Players,D,Russia,3,270,32.8,11.9,11.8,30.2,,,,,,,,0,6,1,0,0,17,1,0,0,4,5,0,,,,,,2,2,0,0,183,117,0.64,27,6,0.22,12,27,25
Javad NEKOUNAM,WC Players,M,Iran,3,270,32.6,7.8,15,27.2,,,,,,,,0,11,0.82,0,1,19,1,0,0,2,2,0,,,,,,,,,,102,71,0.7,2,0,,0,0,0
Carl MEDJANI,WC Players,D,Algeria,3,264,32.6,9.5,14.1,27.2,,,,,,,,1,6,0.84,0,0,12,0,0,0,8,3,0,,,,,,2,0,2,0,93,64,0.69,1,0,,0,0,0
KI Sungyueng,WC Players,M,South Korea,3,270,32.5,11.5,11.6,27.9,,,,,,,,2,3,0.67,0,1,13,1,0,0,5,6,0,,,,,,7,5,2,0,220,175,0.8,17,4,0.24,10,4,2
Aissa MANDI,WC Players,D,Algeria,3,300,32.4,9.4,13.7,27.8,,,,,,,,3,6,1,0,1,15,0,0,0,4,3,0,,,,,,,,,,127,91,0.72,4,1,0.25,0,36,33
Hector MORENO,WC Players,D,Mexico,4,316,32.3,10.2,11.8,29.4,,,,,,,,3,8,0.88,0,3,22,1,0,0,4,1,0,,,,,,,,,,183,139,0.76,2,0,,0,10,7
NANI,WC Players,F,Portugal,3,270,32.3,12.5,11.4,29.8,1,0,3,45,9,5,6,1,1,1,0,0,13,0,0,0,5,2,0,0,0,0,1,0,12,6,6,1,168,110,0.65,20,3,0.15,6,7,5
Teofilo GUTIERREZ,WC Players,F,Colombia,4,304,32.2,10.7,10.1,30.7,1,2,1,28,2,2,3,0,1,1,0,1,2,0,0,0,7,2,0,1,0,1,0,0,5,3,2,0,101,58,0.57,1,0,,0,1,1
Alvaro GONZALEZ,WC Players,M,Uruguay,4,266,32.1,9.5,12.5,29.4,,,,,,,,0,3,1,0,0,12,0,0,0,4,2,0,,,,,,3,3,0,0,119,87,0.73,7,2,0.29,0,5,3
Matteo DARMIAN,WC Players,D,Italy,3,270,32.1,12.7,11.3,29.1,,,,,,,,0,8,1,0,0,7,0,0,0,4,4,0,,,,,,3,2,1,0,121,102,0.84,3,1,0.33,0,17,14
Reza GHOOCHANNEJAD,WC Players,F,Iran,3,270,32,7.9,13.9,30.1,1,3,1,33,1,3,7,0,2,1,0,0,6,0,0,0,17,10,0,0,0,0,1,0,10,6,4,0,67,39,0.58,1,0,,0,0,0
Cristhian NOBOA,WC Players,M,Ecuador,3,269,32,10.1,13,27.4,,,,,,,,5,4,1,0,5,15,0,0,0,6,1,0,,,,,,5,4,1,0,126,84,0.67,1,0,,0,0,0
Sergio AGUERO,WC Players,F,Argentina,5,313,32,13.1,10.3,31.1,,,,,,,,0,0,,0,0,3,1,0,0,4,3,0,,,,,,7,4,3,0,90,47,0.52,7,0,,0,2,2
LEE Yong,WC Players,D,South Korea,3,270,31.9,11.8,11.3,29.4,,,,,,,,2,4,1,0,2,18,1,0,0,4,2,0,,,,,,1,1,0,0,187,121,0.65,3,1,0.33,0,31,24
Vasily BEREZUTSKIY,WC Players,D,Russia,3,270,31.8,11,11.6,28.5,,,,,,,,0,5,1,0,2,19,0,0,0,1,1,0,,,,,,1,0,1,0,198,163,0.82,1,0,,0,0,0
Jordi ALBA,WC Players,D,Spain,3,270,31.8,13.7,10.4,31.6,,,,,,,,,,,,,,0,0,0,1,3,0,,,,,,3,1,2,0,238,194,0.82,7,1,0.14,0,34,19
Francisco SILVA,WC Players,M,Chile,3,280,31.8,10.8,11.2,29.1,,,,,,,,2,8,1,0,1,20,2,0,0,10,9,0,,,,,,,,,,174,139,0.8,0,0,,0,1,1
Ivan RAKITIC,WC Players,M,Croatia,3,270,31.8,11.1,11.2,29.6,,,,,,,,4,1,1,0,2,21,1,0,0,5,0,0,,,,,,2,1,1,0,179,149,0.83,12,5,0.42,7,1,0
Eyong ENOH,WC Players,M,Cameroon,3,270,31.8,9.4,12.5,28.3,,,,,,,,1,0,,0,0,9,1,0,0,8,4,0,,,,,,5,3,2,0,91,73,0.8,1,1,1,0,0,0
Eduardo VARGAS,WC Players,F,Chile,4,311,31.7,11.5,10.7,29.1,1,1,1,23,1,0,6,,,,,,,0,0,0,0,1,0,2,0,0,1,0,4,3,1,0,85,61,0.72,1,0,,0,1,1
Matthew SPIRANOVIC,WC Players,D,Australia,3,270,31.6,9.8,14,26.6,,,,,,,,0,10,0.9,0,2,18,1,0,0,5,3,0,,,,,,2,1,1,0,139,123,0.88,0,0,,0,0,0
Stephane MBIA,WC Players,M,Cameroon,3,270,31.5,8.9,12,29.8,,,,,,,,0,1,1,0,0,13,1,0,0,5,7,0,,,,,,4,0,4,0,152,122,0.8,3,1,0.33,0,10,9
Giovani DOS SANTOS,WC Players,F,Mexico,4,297,31.4,11.3,10.6,32.5,1,2,1,16,2,1,6,0,0,,0,0,3,0,0,0,3,6,0,0,0,1,0,0,6,6,0,0,99,76,0.77,4,0,,1,1,0
Andrea PIRLO,WC Players,M,Italy,3,270,31.4,12.9,10.4,24.1,,,,,,,,1,0,,0,1,13,0,0,0,2,10,0,,,,,,5,2,3,1,276,249,0.9,5,0,,5,0,0
Martin DEMICHELIS,WC Players,D,Argentina,3,330,31.3,9.4,12.8,28.9,,,,,,,,1,10,0.9,0,1,34,1,0,0,4,2,0,,,,,,,,,,172,148,0.86,0,0,,0,0,0
Emir SPAHIC,WC Players,D,Bosnia-Hercegovina,3,270,31.3,11.8,11.5,29.6,,,,,,,,5,8,0.88,0,3,30,1,0,0,3,3,0,,,,,,,,,,190,164,0.86,1,0,,0,3,3
Keisuke HONDA,WC Players,M,Japan,3,270,31.1,11.8,10.3,30.3,1,0,1,25,5,2,13,0,2,1,0,1,4,0,0,0,2,10,0,1,0,1,0,0,11,9,2,0,178,125,0.7,12,0,,13,4,2
YUN Sukyoung,WC Players,D,South Korea,3,270,31.1,11.1,11,30.5,,,,,,,,0,4,1,0,2,17,0,0,0,3,5,0,,,,,,,,,,146,101,0.69,4,0,,0,20,19
Jose VAZQUEZ,WC Players,M,Mexico,3,270,31,9.9,11.4,28.1,,,,,,,,0,1,1,0,1,9,2,0,0,6,3,0,,,,,,3,0,3,0,140,128,0.91,0,0,,0,0,0
Georgios KARAGOUNIS,WC Players,M,Greece,4,259,31,9.5,11.2,24.9,,,,,,,,5,2,0.5,0,1,13,0,0,0,6,9,0,,,,,,7,5,2,1,146,121,0.83,19,5,0.26,14,1,1
Oribe PERALTA,WC Players,F,Mexico,4,302,30.9,10.4,10,28.2,1,4,1,24,0,7,10,2,2,1,0,0,5,0,0,0,6,4,0,1,0,1,0,0,5,3,2,0,86,61,0.71,1,0,,0,0,0
Joseph YOBO,WC Players,D,Nigeria,4,331,30.9,9.8,11.6,28.3,,,,,,,,2,18,0.84,0,0,16,0,0,0,2,1,0,,,,,,,,,,121,105,0.87,0,0,,0,0,0
Alex WILKINSON,WC Players,D,Australia,3,270,30.8,9,13.9,26.5,,,,,,,,0,7,1,0,2,10,0,0,0,4,0,0,,,,,,,,,,145,120,0.83,0,0,,0,0,0
Darijo SRNA,WC Players,D,Croatia,3,270,30.7,10.1,11.1,33,,,,,,,,1,2,1,0,1,8,0,0,0,4,3,0,,,,,,4,2,2,0,152,97,0.64,17,5,0.29,4,31,17
Giorgio CHIELLINI,WC Players,D,Italy,3,270,30.7,11.5,10.8,30.3,,,,,,,,3,8,0.88,0,1,23,0,0,0,1,9,0,,,,,,1,0,1,0,206,187,0.91,1,0,,0,9,4
Miroslav KLOSE,WC Players,F,Germany,5,280,30.6,12.3,9.8,29,2,1,1,34,0,6,9,2,1,,0,1,9,0,0,0,8,5,0,0,0,0,2,0,7,5,2,0,83,44,0.53,3,1,0.33,0,1,0
Andres INIESTA,WC Players,M,Spain,3,270,30.5,13.3,9.6,25.6,,,,,,,,,,,,,,0,0,0,3,8,0,,,,,,4,3,1,0,239,195,0.82,5,2,0.4,2,1,1
Andre AYEW,WC Players,M,Ghana,3,261,30.5,11.4,10.5,31,2,0,1,17,0,3,2,1,0,,0,0,7,0,0,0,2,4,0,0,0,1,0,1,5,4,1,0,88,64,0.73,1,0,,0,2,1
Divock ORIGI,WC Players,M,Belgium,5,245,30.4,11.5,9.7,30.7,1,4,4,23,2,1,7,0,0,,0,0,2,0,0,0,5,3,0,0,0,0,1,0,11,9,2,1,60,37,0.62,2,1,0.5,0,0,0
LEE Chungyong,WC Players,M,South Korea,3,244,30.3,11,10.4,29.1,,,,,,,,1,0,,0,1,8,0,0,0,3,3,0,,,,,,3,1,2,0,123,95,0.77,12,3,0.25,3,4,4
Sergey IGNASHEVICH,WC Players,D,Russia,3,270,30.3,10.6,11.2,28,,,,,,,,1,4,0.75,0,4,20,0,0,0,2,3,0,,,,,,2,1,1,0,198,151,0.76,0,0,,0,0,0
Pejman MONTAZERI,WC Players,D,Iran,3,270,30.2,7.3,13.7,31.2,,,,,,,,1,6,0.67,0,1,19,0,0,0,3,2,0,,,,,,,,,,120,89,0.74,4,3,0.75,0,24,11
Dries MERTENS,WC Players,F,Belgium,5,269,30.2,11,9.5,29.8,1,2,7,26,7,3,4,0,1,1,0,0,7,0,0,0,6,5,0,0,0,0,1,0,11,6,5,0,133,67,0.5,39,8,0.21,15,3,2
Andrea BARZAGLI,WC Players,D,Italy,3,270,30.1,11.1,10.7,29.1,,,,,,,,0,3,1,0,2,18,0,0,0,3,1,0,,,,,,1,1,0,0,211,189,0.9,0,0,,0,1,1
Gary CAHILL,WC Players,D,England,3,270,29.9,10.7,10.3,29.4,,,,,,,,1,12,0.84,0,1,17,0,0,0,3,4,0,,,,,,,,,,159,139,0.87,0,0,,0,0,0
Atsuto UCHIDA,WC Players,D,Japan,3,270,29.8,11.3,10.2,30,,,,,,,,3,2,1,0,0,18,0,0,0,1,3,0,,,,,,3,1,2,0,131,96,0.73,11,3,0.27,0,16,7
MAICON,WC Players,D,Brazil,3,270,29.8,10.8,10.3,30.5,,,,,,,,0,1,1,0,0,11,0,0,0,2,4,0,,,,,,2,1,1,0,161,130,0.81,5,0,,0,23,21
Sergio RAMOS,WC Players,D,Spain,3,270,29.7,12.1,9.9,29.4,,,,,,,,1,5,0.8,0,1,21,1,0,0,4,3,0,,,,,,6,3,3,0,207,174,0.84,0,0,,0,0,0
Jonathan MENSAH,WC Players,D,Ghana,3,270,29.7,9.7,11.2,28.5,,,,,,,,2,6,0.84,0,1,22,0,0,0,1,1,0,,,,,,3,0,3,0,147,122,0.83,0,0,,0,1,1
Brayan BECKELES,WC Players,D,Honduras,3,270,29.7,10,11.6,28.8,,,,,,,,6,3,1,0,1,16,0,0,0,3,1,0,,,,,,4,1,3,0,139,104,0.75,6,2,0.33,0,24,17
Kwadwo ASAMOAH,WC Players,M,Ghana,3,270,29.6,10.3,10.9,30.9,,,,,,,,2,5,1,0,1,24,0,0,0,1,6,0,,,,,,3,2,1,0,189,150,0.79,9,5,0.56,3,27,15
Yaya TOURE,WC Players,M,Ivory Coast,3,270,29.6,12.2,8.9,30.7,,,,,,,,0,0,,0,0,8,0,0,0,1,4,0,,,,,,9,6,3,0,173,137,0.79,11,3,0.27,6,1,1
Christian ATSU,WC Players,M,Ghana,3,240,29.6,10.8,10.5,30.3,,,,,,,,0,1,1,0,0,7,0,0,0,4,1,0,,,,,,9,4,5,0,127,84,0.66,11,3,0.27,5,9,3
Bruno ALVES,WC Players,D,Portugal,3,270,29.4,10,11.4,27.8,,,,,,,,2,6,0.5,0,3,16,0,0,0,5,1,0,,,,,,,,,,145,122,0.84,0,0,,0,0,0
Mohammed RABIU,WC Players,M,Ghana,3,225,29.4,9.8,11.6,29.1,,,,,,,,0,1,,0,0,11,1,0,0,8,2,0,,,,,,,,,,99,77,0.78,0,0,,0,0,0
John BOYE,WC Players,D,Ghana,3,270,29.3,9.4,11.4,30.2,,,,,,,,0,7,0.86,0,3,20,0,0,0,1,1,0,,,,,,2,0,2,0,99,81,0.82,0,0,,0,0,0
Maya YOSHIDA,WC Players,D,Japan,3,270,29.2,10.2,10,29.2,,,,,,,,1,8,0.88,0,3,21,1,0,0,5,5,0,,,,,,2,1,1,0,169,138,0.82,2,0,,0,1,0
Ivan PERISIC,WC Players,M,Croatia,3,258,29.2,9.7,9.6,31.8,2,0,5,23,2,4,7,0,4,1,0,0,7,0,0,0,3,5,0,1,0,2,0,0,11,6,5,0,83,50,0.6,10,1,0.1,0,2,0
Josip DRMIC,WC Players,F,Switzerland,4,251,29.1,10,10.2,31.2,,,,,,,,,,,,,,0,0,0,4,6,0,,,,,,5,4,1,0,42,29,0.69,3,1,0.33,0,0,0
Juan PAREDES,WC Players,D,Ecuador,3,270,29,9.3,11.7,31.2,,,,,,,,3,4,1,0,2,15,1,0,0,3,5,0,,,,,,,,,,109,83,0.76,8,2,0.25,0,30,15
Luka MODRIC,WC Players,M,Croatia,3,270,28.9,9.9,10,27.9,,,,,,,,2,4,1,0,1,12,0,0,0,2,7,0,,,,,,2,2,0,0,159,135,0.85,5,3,0.6,0,0,0
Abel AGUILAR,WC Players,M,Colombia,3,238,28.8,9.4,10.3,27.2,,,,,,,,1,3,1,0,1,12,0,0,0,6,3,0,,,,,,1,0,1,0,121,100,0.83,0,0,,0,1,1
Serge AURIER,WC Players,D,Ivory Coast,3,270,28.8,10.5,9.3,33.5,,,,,,,,3,4,0.75,0,1,14,0,0,0,4,5,0,,,,,,3,3,0,0,162,118,0.73,18,3,0.17,3,30,19
Arturo VIDAL,WC Players,M,Chile,3,235,28.6,10.9,10.2,27.4,,,,,,,,1,0,,0,0,10,1,0,0,8,9,0,,,,,,1,0,1,0,126,97,0.77,2,2,1,0,3,3
Ivica OLIC,WC Players,F,Croatia,3,228,28.6,9.2,9.7,29.8,1,0,1,34,1,10,5,3,1,1,0,0,9,0,0,0,6,0,0,0,0,1,0,0,5,3,2,0,73,38,0.52,14,1,0.07,0,0,0
Andre SCHUERRLE,WC Players,F,Germany,6,244,28.6,11.5,9.3,30.2,3,2,2,32,4,4,6,1,0,,0,0,5,0,0,0,7,2,0,1,0,2,1,0,15,13,2,0,157,103,0.66,10,1,0.1,0,1,1
Ehsan HAJI SAFI,WC Players,D,Iran,3,241,28.5,6.9,13.3,28.9,,,,,,,,0,3,1,0,0,8,,,,,,,,,,,,5,3,2,0,76,45,0.59,8,3,0.38,1,2,0
KIM Younggwon,WC Players,D,South Korea,3,270,28.5,9.6,10,26.2,,,,,,,,0,10,1,0,3,21,0,0,0,2,5,0,,,,,,2,1,1,0,155,135,0.87,1,1,1,0,0,0
Jonathan DE GUZMAN,WC Players,M,Netherlands,3,230,28.5,9.9,11.2,28.7,,,,,,,,,,,,,,2,0,0,8,0,0,,,,,,1,0,1,0,95,74,0.78,3,1,0.33,0,0,0
Joao PEREIRA,WC Players,D,Portugal,3,241,28.4,10.5,11,26.9,,,,,,,,1,1,1,0,0,8,1,0,0,2,1,1,,,,,,,,,,134,105,0.78,7,1,0.14,0,21,8
Edin DZEKO,WC Players,F,Bosnia-Hercegovina,3,264,28.2,11.8,9.1,29.4,1,3,1,26,1,0,11,,,,,,,0,0,0,5,5,0,0,0,1,0,0,12,8,4,0,77,52,0.68,0,0,,0,0,0
Asamoah GYAN,WC Players,F,Ghana,3,270,28.2,10.3,9.1,32.3,2,5,3,32,2,0,4,,,,,,,0,0,0,3,8,0,1,0,0,1,1,18,7,11,0,68,37,0.54,4,1,0.25,0,0,0
CRISTIANO RONALDO,WC Players,F,Portugal,3,270,28.2,11.2,9.1,31.2,1,3,1,33,2,1,10,0,0,,0,1,6,0,0,0,2,10,0,1,0,1,0,0,23,14,9,1,112,82,0.73,2,0,,1,1,1
Amirhossein SADEGHI,WC Players,D,Iran,3,270,28,6.4,12.5,25.8,,,,,,,,1,17,0.83,0,2,15,0,0,0,2,1,0,,,,,,,,,,61,51,0.84,0,0,,0,0,0
Mamadou SAKHO,WC Players,D,France,4,289,28,9.9,9.6,29.2,,,,,,,,1,7,0.72,0,3,20,0,0,0,0,1,0,,,,,,1,0,1,0,203,182,0.9,0,0,,0,1,0
Mehrdad POOLADI,WC Players,D,Iran,3,270,27.9,6.8,12.9,29.2,,,,,,,,5,8,1,0,2,14,0,0,0,2,6,0,,,,,,,,,,81,54,0.67,6,2,0.33,0,21,14
