PLAYERS,LEAGUE,POSITION,TEAM,MATCHES_PLAYED,MINUTES_PLAYED,DISTANCE_COVERED,DISTANCE_COVERED_IN_POSSESSION,DISTANCE_COVERED_NOT_IN_POSSESSION,TOP_SPEED,TOTAL_GOALS_SCORED,OFFSIDES,SOLO_RUNS_INTO_AREA,LOST_BALLS,DELIVERIES_IN_PENALTY_AREA,TACKLES,TACKLES_SUFFERED,TACKLES_WON,ATTEMPTED_CLEARANCES,CLEARANCE_RATE,SAVES,BLOCKS,RECOVERED_BALLS,YELLOW_CARDS,SECOND_YELLOW_CARD_AND_RED_CARD,RED_CARDS,FOULS_COMMITTED,FOULS_SUFFERED,FOULS_CAUSING_A_PENALTY,ASSISTS,PENALTIES_SCORED,GOALS_SCORED_WITH_THE_LEFT_FOOT,GOALS_SCORED_WITH_THE_RIGHT_FOOT,HEADED_GOALS,SHOTS,ATTEMPTS_ON_TARGET,ATTEMPTS_OFF-TARGET,WOODWORK,TOTAL_PASSES,PASSES_COMPLETED,PASSES_COMPLETED_PERCENT,CROSSES,CROSSES_COMPLETED,CROSSES_COMPLETED_PERCENT,CORNERS,THROW-INS,THROW-INS_COMPLETED
SON Heungmin,WC Players,M,South Korea,3,247,27.8,10.1,9.6,28.5,1,0,1,28,4,0,9,,,,,,,1,0,0,3,5,0,0,0,1,0,0,5,3,2,0,95,61,0.64,8,4,0.5,5,4,2
Kevin MIRALLAS,WC Players,M,Belgium,4,223,27.8,9.9,9.6,29.4,,,,,,,,1,1,1,0,0,5,0,0,0,4,1,0,,,,,,6,4,2,1,79,51,0.65,10,3,0.3,7,3,3
Walter AYOVI,WC Players,D,Ecuador,3,270,27.7,8.4,11.2,30.3,,,,,,,,0,6,0.67,0,1,17,0,0,0,4,1,0,,,,,,3,1,2,0,166,128,0.77,19,4,0.21,6,29,14
Oleg SHATOV,WC Players,M,Russia,3,209,27.7,10.5,10.6,28.9,,,,,,,,0,1,,0,0,11,1,0,0,2,2,0,,,,,,2,1,1,0,92,70,0.76,3,2,0.67,0,0,0
Shinji OKAZAKI,WC Players,F,Japan,3,249,27.7,10.1,9.3,30.1,1,0,0,20,0,3,5,2,2,0.5,0,0,5,0,0,0,8,7,0,0,0,0,0,1,2,1,1,0,58,35,0.6,0,0,,0,0,0
Jalal HOSSEINI,WC Players,D,Iran,3,270,27.6,6.3,12.5,30.2,,,,,,,,2,10,1,0,0,14,,,,,,,,,,,,2,0,2,0,57,36,0.63,0,0,,0,6,1
Ismael TIOTE,WC Players,M,Ivory Coast,3,241,27.4,10.6,9.1,29.8,,,,,,,,4,2,1,0,1,17,1,0,0,5,3,0,,,,,,3,2,1,0,184,155,0.84,3,1,0.33,0,0,0
Dejan LOVREN,WC Players,D,Croatia,3,270,27.4,8.7,9.3,31.8,,,,,,,,0,4,1,0,1,16,1,0,0,5,2,1,,,,,,1,0,1,0,116,100,0.86,0,0,,0,0,0
Jose GIMENEZ,WC Players,D,Uruguay,3,270,27.3,6.9,10.4,31.1,,,,,,,,1,7,0.86,0,3,15,1,0,0,5,4,0,,,,,,1,0,1,0,90,59,0.66,0,0,,0,8,3
Frickson ERAZO,WC Players,D,Ecuador,3,270,27.1,8,10.9,27.2,,,,,,,,0,8,0.88,0,3,16,1,0,0,1,0,0,,,,,,2,0,2,0,105,68,0.65,0,0,,0,1,1
HAN Kookyoung,WC Players,M,South Korea,3,214,27,9.2,9.8,26.9,,,,,,,,4,0,,0,1,14,1,0,0,3,2,0,,,,,,,,,,112,92,0.82,2,0,,0,0,0
Enner VALENCIA,WC Players,F,Ecuador,3,270,27,8.8,9.4,30.2,3,3,1,24,1,3,12,0,2,1,0,0,7,1,0,0,6,7,0,0,0,1,0,2,8,5,3,0,76,43,0.57,2,0,,0,2,1
Miguel VELOSO,WC Players,M,Portugal,3,226,26.9,9.5,10.3,30.1,,,,,,,,1,1,1,0,1,14,0,0,0,1,3,0,,,,,,2,2,0,0,161,124,0.77,18,8,0.44,3,15,13
Daniel STURRIDGE,WC Players,F,England,3,260,26.9,11,8.2,29.9,1,2,1,22,2,1,5,0,0,,0,0,4,0,0,0,2,7,0,0,0,0,1,0,12,6,6,0,78,53,0.68,3,1,0.33,0,0,0
Maximiliano PEREIRA,WC Players,D,Uruguay,3,224,26.8,8.7,8.9,27.4,,,,,,,,1,2,1,0,0,14,0,0,1,3,6,0,,,,,,1,1,0,0,141,99,0.7,10,1,0.1,0,33,18
Dimitrios SALPINGIDIS,WC Players,F,Greece,4,225,26.4,8.8,9,30.7,,,,,,,,1,0,,0,0,4,1,0,0,4,6,0,,,,,,3,3,0,0,67,40,0.6,6,0,,0,0,0
Maynor FIGUEROA,WC Players,D,Honduras,3,270,26.3,8.2,10.6,31.6,,,,,,,,2,5,0.8,0,1,25,1,0,0,8,5,0,,,,,,5,1,4,0,178,130,0.73,1,0,,0,1,1
JULIO CESAR,WC Players,G,Brazil,7,660,26.3,8.2,7.2,24.7,,,,,,,,1,3,1,10,0,0,1,0,0,1,1,1,,,,,,,,,,172,130,0.76,0,0,,0,52,27
Antonio VALENCIA,WC Players,M,Ecuador,3,230,26.3,8.7,9.9,29.8,,,,,,,,1,1,1,0,0,4,1,0,1,11,2,0,,,,,,2,2,0,0,95,67,0.71,8,1,0.13,6,2,1
Vedran CORLUKA,WC Players,D,Croatia,3,270,26.3,8.3,9.3,28.3,,,,,,,,1,9,1,0,7,9,1,0,0,3,3,0,,,,,,1,0,1,0,124,107,0.86,1,1,1,0,2,2
GERVINHO,WC Players,F,Ivory Coast,3,263,26.1,10.3,7.8,32.3,2,4,7,21,2,1,8,0,0,,0,1,7,0,0,0,1,4,0,1,0,0,1,1,6,6,0,0,95,68,0.72,1,0,,0,2,0
HONG Jeongho,WC Players,D,South Korea,3,253,26.1,8.6,9.3,31.8,,,,,,,,0,7,0.86,0,1,21,1,0,0,1,1,0,,,,,,1,1,0,0,149,120,0.81,0,0,,0,0,0
Benjamin MOUKANDJO,WC Players,F,Cameroon,3,238,26.1,7.9,9.6,30.7,,,,,,,,0,1,1,0,0,4,0,0,0,3,4,0,,,,,,4,2,2,0,86,42,0.49,14,3,0.21,8,0,0
Tommy OAR,WC Players,M,Australia,3,206,26.1,7.7,12.2,31.9,,,,,,,,0,1,1,0,0,5,0,0,0,1,5,0,,,,,,2,0,2,0,56,26,0.46,14,2,0.14,3,0,0
Claudio MARCHISIO,WC Players,M,Italy,3,218,26,10.7,8.8,27.4,1,2,0,23,4,5,2,1,3,0.34,0,0,4,0,0,1,7,5,0,0,0,0,1,0,2,2,0,0,105,82,0.78,1,1,1,0,1,1
Enzo PEREZ,WC Players,M,Argentina,3,224,26,8.9,10.6,31.2,,,,,,,,0,0,,0,1,6,0,0,0,0,3,0,,,,,,1,0,1,0,104,83,0.8,2,1,0.5,0,1,1
Matt McKAY,WC Players,M,Australia,2,180,26,9.1,10.9,30.7,,,,,,,,1,0,,0,0,12,0,0,0,3,2,0,,,,,,1,0,1,0,107,85,0.79,2,1,0.5,0,0,0
Moussa SISSOKO,WC Players,M,France,4,214,25.8,9.9,8.9,32.3,1,1,0,19,3,2,2,0,0,,0,0,8,0,0,0,4,2,0,0,0,0,1,0,3,2,1,0,112,89,0.79,9,3,0.33,0,3,3
Denis GLUSHAKOV,WC Players,M,Russia,3,208,25.8,9.1,9.9,29.2,,,,,,,,1,1,1,0,0,12,1,0,0,5,2,0,,,,,,4,2,2,0,88,65,0.74,0,0,,0,0,0
Roger ESPINOZA,WC Players,M,Honduras,3,226,25.7,8.2,10.4,27.9,,,,,,,,2,2,1,0,1,12,0,0,0,4,1,0,,,,,,4,3,1,0,106,81,0.76,2,0,,0,2,1
Eric CHOUPO MOTING,WC Players,F,Cameroon,3,246,25.6,7.7,9.4,28.1,,,,,,,,0,2,1,0,1,8,0,0,0,1,0,0,,,,,,5,3,2,0,86,55,0.64,2,1,0.5,1,2,1
Ashkan DEJAGAH,WC Players,M,Iran,3,226,25.4,6.3,11.3,30.9,,,,,,,,0,0,,0,1,2,0,0,0,3,6,0,,,,,,1,1,0,0,84,38,0.45,15,5,0.33,8,0,0
Jorge GUAGUA,WC Players,D,Ecuador,3,270,25.2,7.4,10.2,27.8,,,,,,,,0,9,1,0,0,14,0,0,0,4,3,0,,,,,,,,,,89,58,0.65,0,0,,0,0,0
Felipe GUTIERREZ,WC Players,M,Chile,4,165,25.2,9.5,7.8,27.2,,,,,,,,3,3,0.67,0,2,7,0,0,0,5,4,0,,,,,,3,0,3,0,85,65,0.76,1,0,,1,1,1
Nicolas NKOULOU,WC Players,D,Cameroon,3,270,25.1,6.8,10.1,31.1,,,,,,,,2,11,0.73,0,4,16,0,0,0,1,0,0,,,,,,1,0,1,0,100,88,0.88,0,0,,0,0,0
Souleymane BAMBA,WC Players,D,Ivory Coast,3,270,24.8,8.8,8.3,31,,,,,,,,0,9,0.89,0,0,17,1,0,0,4,1,0,,,,,,1,0,1,0,159,141,0.89,0,0,,0,0,0
Keylor NAVAS,WC Players,G,Costa Rica,5,510,24.7,6.5,9.6,24.1,,,,,,,,0,5,1,21,0,0,1,0,0,0,3,0,,,,,,,,,,180,101,0.56,0,0,,0,55,21
Shinji KAGAWA,WC Players,M,Japan,3,204,24.6,9.6,8.2,28.5,,,,,,,,1,0,,0,0,9,0,0,0,2,3,0,,,,,,5,1,4,0,134,99,0.74,3,1,0.33,3,3,2
Yacine BRAHIMI,WC Players,M,Algeria,3,190,24.6,8.7,9,30.2,1,0,0,28,6,7,15,1,0,,0,0,5,0,0,0,6,6,0,1,0,0,1,0,5,4,1,0,110,80,0.73,13,5,0.38,4,0,0
Omar GONZALEZ,WC Players,D,USA,3,211,24.6,7.6,10.4,26.8,,,,,,,,0,12,0.92,0,3,9,1,0,0,2,2,0,,,,,,,,,,118,91,0.77,0,0,,0,0,0
Sergio ROMERO,WC Players,G,Argentina,7,720,24.6,8.3,8.2,28.8,,,,,,,,0,7,0.86,19,0,0,,,,,,,,,,,,,,,,209,136,0.65,0,0,,0,68,29
Arthur BOKA,WC Players,D,Ivory Coast,3,255,24.5,9.3,8.4,30,,,,,,,,0,2,0.5,0,0,5,0,0,0,3,2,0,,,,,,4,3,1,0,131,103,0.79,11,2,0.18,0,25,18
Ryan McGOWAN,WC Players,D,Australia,3,221,24.4,7.7,10.8,27.8,,,,,,,,2,3,0.34,0,1,10,0,0,0,2,3,0,,,,,,,,,,128,90,0.7,2,1,0.5,0,31,13
Steven GERRARD,WC Players,M,England,3,197,24,9.1,8.7,27.8,,,,,,,,0,2,0.5,0,2,7,1,0,0,2,0,0,,,,,,2,0,2,0,142,113,0.8,16,5,0.31,7,0,0
Jorge CLAROS,WC Players,M,Honduras,3,212,23.9,8.4,9.3,29.8,,,,,,,,7,1,1,0,0,15,0,0,0,1,3,0,,,,,,2,1,1,0,147,129,0.88,0,0,,0,0,0
Wayne ROONEY,WC Players,F,England,3,194,23.7,9.7,7.9,30.7,1,0,2,11,3,1,10,0,0,,0,0,0,0,0,0,3,6,0,1,0,1,0,0,9,4,5,1,77,56,0.73,8,2,0.25,3,0,0
Xabi ALONSO,WC Players,M,Spain,3,191,23.4,10.3,7.6,27.1,1,1,1,16,0,4,4,1,1,,0,0,12,1,0,0,5,2,0,0,1,0,1,0,3,2,1,0,168,145,0.86,3,0,,0,0,0
Jefferson MONTERO,WC Players,F,Ecuador,3,230,23.4,7.8,8.4,30.9,,,,,,,,0,0,,0,0,6,1,0,0,3,4,0,,,,,,2,2,0,0,89,54,0.61,5,0,,5,2,1
Madjid BOUGUERRA,WC Players,D,Algeria,3,202,23.4,6.8,9.6,29.1,,,,,,,,3,6,1,0,2,13,1,0,0,1,2,0,,,,,,1,1,0,0,98,77,0.79,1,0,,0,0,0
Claudio BRAVO,WC Players,G,Chile,4,390,23.4,8,6.8,27.2,,,,,,,,0,10,0.7,18,0,0,0,0,0,0,3,0,,,,,,,,,,171,116,0.68,0,0,,0,49,29
Hugo LLORIS,WC Players,G,France,5,450,23.3,8.2,7.6,25.3,,,,,,,,0,3,1,10,0,0,0,0,0,0,3,0,,,,,,,,,,137,105,0.77,0,0,,0,37,24
Rodrigo PALACIO,WC Players,F,Argentina,5,160,23.1,8.1,8.5,31.4,,,,,,,,0,2,1,0,0,4,0,0,0,5,0,0,,,,,,6,3,3,0,51,28,0.55,4,0,,0,0,0
Hotaru YAMAGUCHI,WC Players,M,Japan,3,208,23,8.6,8.4,29.4,,,,,,,,0,3,1,0,1,10,0,0,0,2,1,0,,,,,,2,1,1,0,161,145,0.9,2,0,,0,1,1
EDER,WC Players,F,Portugal,3,205,22.9,8.7,7.8,31.4,,,,,,,,,,,,,,0,0,0,4,5,0,,,,,,7,2,5,0,68,56,0.82,2,0,,0,0,0
Die SEREY,WC Players,M,Ivory Coast,3,225,22.9,8.4,8,30.7,,,,,,,,5,2,1,0,1,15,1,0,0,6,2,0,,,,,,1,1,0,0,158,148,0.94,1,0,,0,2,1
Cristhian STUANI,WC Players,F,Uruguay,4,177,22.9,7.2,7,27.9,,,,,,,,0,1,,0,0,5,0,0,0,5,5,0,,,,,,2,1,1,0,47,30,0.64,2,1,0.5,0,0,0
Laurent KOSCIELNY,WC Players,D,France,4,222,22.8,7.2,8.2,30.3,,,,,,,,0,8,1,0,1,14,0,0,0,2,1,0,,,,,,1,1,0,0,106,86,0.81,0,0,,0,1,1
Jackson MARTINEZ,WC Players,F,Colombia,3,194,22.8,8.3,7.1,29.6,2,1,0,22,0,2,4,1,1,1,0,2,5,0,0,0,4,5,0,0,0,2,0,0,5,4,1,0,63,35,0.56,1,0,,0,0,0
Salomon KALOU,WC Players,F,Ivory Coast,3,203,22.7,9.1,6.6,29.8,,,,,,,,1,0,,0,0,6,1,0,0,7,2,0,,,,,,7,3,4,0,81,49,0.6,8,0,,4,3,1
Esseid BELKALEM,WC Players,D,Algeria,3,211,22.6,6.3,9.8,27,,,,,,,,0,12,0.75,0,6,15,0,0,0,1,2,0,,,,,,1,0,1,0,86,54,0.63,0,0,,0,1,0
Sulley MUNTARI,WC Players,M,Ghana,2,180,22.5,8,8.4,26.3,,,,,,,,0,1,1,0,0,7,2,0,0,5,6,0,,,,,,5,1,4,0,125,89,0.71,7,4,0.57,5,2,0
Fredy GUARIN,WC Players,M,Colombia,3,189,22.3,6.7,8,29.1,,,,,,,,2,0,,0,0,12,1,0,0,6,1,0,,,,,,2,0,2,0,85,59,0.69,5,0,,2,0,0
Carlo COSTLY,WC Players,F,Honduras,3,220,22.3,7.1,8.5,30.3,1,1,2,22,0,2,4,1,1,1,0,0,2,0,0,0,6,4,0,0,0,1,0,0,3,1,2,1,59,33,0.56,3,0,,0,1,0
Yoshito OKUBO,WC Players,F,Japan,3,203,22.3,9.3,6.2,27.4,,,,,,,,0,0,,0,0,1,0,0,0,4,7,0,,,,,,9,4,5,0,59,50,0.85,2,1,0.5,0,0,0
Jerry BENGTSON,WC Players,F,Honduras,3,226,22.2,8,7.4,30.2,,,,,,,,0,4,0.75,0,1,2,1,0,0,6,2,0,,,,,,4,3,1,0,53,40,0.75,1,1,1,0,1,1
Makoto HASEBE,WC Players,M,Japan,3,190,22.1,8.4,7.6,26.9,,,,,,,,1,2,0.5,0,1,12,1,0,0,3,5,0,,,,,,2,1,1,0,146,118,0.81,2,2,1,0,0,0
Harrison AFFUL,WC Players,D,Ghana,2,180,22,7.2,9.5,29.9,,,,,,,,,,,,,,1,0,0,3,3,0,,,,,,,,,,144,97,0.67,10,2,0.2,0,32,25
Diego BENAGLIO,WC Players,G,Switzerland,4,390,22,6.9,7.8,23.9,,,,,,,,1,6,0.67,22,0,0,0,0,0,0,1,0,,,,,,,,,,119,69,0.58,0,0,,0,48,8
Lazaros CHRISTODOULOPOULOS,WC Players,M,Greece,2,210,21.9,8.1,6.9,28.9,,,,,,,,2,0,,0,0,5,0,0,0,0,4,0,,,,,,9,1,8,0,71,55,0.77,10,0,,2,3,3
Mehdi MOSTEFA,WC Players,D,Algeria,2,210,21.7,5.1,10,28.3,,,,,,,,2,4,0.5,0,0,9,0,0,0,5,2,0,,,,,,2,1,1,0,73,44,0.6,0,0,,0,9,4
Faouzi GHOULAM,WC Players,D,Algeria,2,210,21.7,5.6,9.9,30.5,,,,,,,,3,6,1,0,1,14,0,0,0,2,0,0,,,,,,1,0,1,0,119,79,0.66,5,0,,0,28,21
Alvaro PEREIRA,WC Players,M,Uruguay,3,206,21.4,5.4,8.6,33.1,,,,,,,,1,5,1,0,1,7,0,0,0,7,5,0,,,,,,,,,,103,60,0.58,7,1,0.14,0,16,13
Boniek GARCIA,WC Players,M,Honduras,3,204,21.4,7.6,8,29,,,,,,,,0,1,1,0,0,5,1,0,0,2,8,0,,,,,,2,2,0,0,97,69,0.71,10,5,0.5,7,3,2
Djamel MESBAH,WC Players,D,Algeria,2,180,21.3,7.2,8.3,31.8,,,,,,,,0,4,0.75,0,0,8,1,0,0,5,2,0,,,,,,1,1,0,0,115,92,0.8,4,1,0.25,0,29,25
David SILVA,WC Players,M,Spain,3,175,21.2,9.6,6.3,28.3,,,,,,,,2,1,1,0,0,14,0,0,0,0,5,0,,,,,,3,2,1,0,124,102,0.82,1,0,,0,1,0
Sead KOLASINAC,WC Players,D,Bosnia-Hercegovina,2,180,21.1,8,7.7,31.1,,,,,,,,2,2,0.5,0,0,15,0,0,0,4,2,0,,,,,,1,1,0,0,111,95,0.86,0,0,,0,15,4
Raheem STERLING,WC Players,M,England,3,182,20.9,8.1,7.3,30.7,,,,,,,,0,1,1,0,0,0,1,0,0,6,4,0,,,,,,4,2,2,0,87,60,0.69,9,2,0.22,0,0,0
Fabian SCHAER,WC Players,D,Switzerland,2,210,20.9,5.6,8.9,29.2,,,,,,,,1,18,0.89,0,1,11,0,0,0,1,1,0,,,,,,1,0,1,0,62,41,0.66,1,0,,0,0,0
Mario BALOTELLI,WC Players,F,Italy,3,209,20.8,9,6,33,1,5,1,20,0,2,7,0,0,,0,0,0,2,0,0,8,3,0,0,0,0,0,1,7,4,3,0,52,34,0.65,1,0,,0,0,0
Daniele DE ROSSI,WC Players,M,Italy,2,180,20.8,8.1,7.7,25.2,,,,,,,,3,0,,0,0,15,0,0,0,3,2,0,,,,,,,,,,215,202,0.94,0,0,,0,0,0
Saphir TAIDER,WC Players,M,Algeria,2,168,20.6,5,10,25.7,,,,,,,,1,0,,0,0,6,0,0,0,4,7,0,,,,,,,,,,53,39,0.74,7,1,0.14,4,2,2
Sergio BUSQUETS,WC Players,M,Spain,2,180,20.6,8.6,6.7,28.9,,,,,,,,0,0,,0,0,8,0,0,0,1,3,0,,,,,,1,0,1,0,137,125,0.91,0,0,,0,0,0
Oswaldo MINDA,WC Players,M,Ecuador,2,173,20.6,6.3,8.5,26.1,,,,,,,,2,1,1,0,3,16,0,0,0,2,0,0,,,,,,,,,,81,63,0.78,1,0,,0,0,0
Glen JOHNSON,WC Players,D,England,2,180,20.6,8,7.3,29.4,,,,,,,,,,,,,,0,0,0,1,3,0,,,,,,2,0,2,0,155,121,0.78,7,1,0.14,0,25,10
Victor IBARBO,WC Players,M,Colombia,3,189,20.5,6.6,7.7,32.5,,,,,,,,1,3,0.67,0,1,4,0,0,0,7,6,0,,,,,,,,,,56,37,0.66,1,1,1,0,2,1
Olivier GIROUD,WC Players,F,France,5,165,20.4,7.5,6.8,28.9,1,0,1,23,0,2,6,2,5,0.6,0,0,1,0,0,0,5,5,0,1,0,0,0,1,7,3,4,0,62,36,0.58,4,0,,0,0,0
Nicolas LODEIRO,WC Players,M,Uruguay,3,143,20.4,6,7.7,26.7,,,,,,,,2,2,0.5,0,0,7,0,0,0,2,0,0,,,,,,1,1,0,0,83,57,0.69,2,1,0.5,4,2,1
Thibaut COURTOIS,WC Players,G,Belgium,5,480,20.4,7.1,6.6,19.3,,,,,,,,0,3,1,13,0,0,0,0,0,0,1,0,,,,,,,,,,125,85,0.68,0,0,,0,45,26
Panagiotis KONE,WC Players,M,Greece,3,171,20.2,6.6,7.3,30.3,,,,,,,,0,1,1,0,1,5,0,0,0,2,5,0,,,,,,5,2,3,0,59,35,0.59,8,0,,3,2,0
David OSPINA,WC Players,G,Colombia,5,445,20.2,6,5.8,22.1,,,,,,,,0,4,0.75,21,0,0,0,0,0,0,2,0,,,,,,,,,,138,89,0.64,0,0,,0,49,26
Konstantinos KATSOURANIS,WC Players,M,Greece,3,170,20.1,7,6.9,30,,,,,,,,1,2,1,0,1,7,0,1,0,5,1,0,,,,,,1,1,0,0,131,103,0.79,3,2,0.67,0,0,0
Luis GARRIDO,WC Players,M,Honduras,2,161,20.1,5.3,9.6,29.4,,,,,,,,3,0,,0,2,12,1,0,0,1,2,0,,,,,,,,,,72,55,0.76,1,0,,0,0,0
Victor BERNARDEZ,WC Players,D,Honduras,3,226,20.1,6.3,7.6,28.7,,,,,,,,0,4,0.75,0,2,8,1,0,0,5,2,0,,,,,,2,1,1,0,80,60,0.75,0,0,,0,0,0
Toni SUNJIC,WC Players,D,Bosnia-Hercegovina,2,180,20.1,7.9,6.7,27.9,,,,,,,,4,9,0.89,0,2,12,0,0,0,2,1,0,,,,,,,,,,133,115,0.86,0,0,,0,0,0
Theofanis GEKAS,WC Players,F,Greece,4,182,19.9,7.2,6,28.3,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,5,2,3,1,30,20,0.67,0,0,,0,1,0
Khosro HEYDARI,WC Players,D,Iran,3,147,19.6,5.5,8.4,30.3,,,,,,,,0,1,1,0,0,4,0,0,0,1,1,0,,,,,,,,,,56,34,0.61,14,2,0.14,1,3,3
Memphis DEPAY,WC Players,F,Netherlands,4,173,19.6,8.1,5.7,30.7,2,2,2,17,3,1,12,1,1,1,0,0,2,0,0,0,3,5,0,1,0,0,2,0,6,5,1,0,77,55,0.71,8,0,,1,6,6
WILLIAN,WC Players,M,Brazil,5,150,19.5,7.8,6.6,31.1,,,,,,,,0,1,1,0,0,3,0,0,0,2,2,0,,,,,,2,1,1,0,106,88,0.83,9,2,0.22,3,0,0
Cesar AZPILICUETA,WC Players,D,Spain,2,180,19.4,8.2,6.4,31.6,,,,,,,,0,1,,0,0,9,0,0,0,2,0,0,,,,,,,,,,135,105,0.78,5,1,0.2,0,28,20
Mark BRESCIANO,WC Players,M,Australia,3,147,19.4,6.5,8.1,22.3,,,,,,,,0,0,,0,0,2,0,0,0,4,2,0,,,,,,5,3,2,0,84,70,0.83,2,0,,1,0,0
Mario MANDZUKIC,WC Players,F,Croatia,2,180,19.3,6.3,5.7,30.2,2,3,1,12,0,2,2,1,2,1,0,0,1,0,0,0,3,2,0,0,0,0,1,1,4,2,2,0,47,27,0.57,0,0,,0,2,2
Leighton BAINES,WC Players,D,England,2,180,19.2,7.4,6.7,29.8,,,,,,,,1,4,0.5,0,0,6,0,0,0,2,1,0,,,,,,1,1,0,0,129,103,0.8,12,1,0.08,7,23,16
JO,WC Players,F,Brazil,3,168,19.1,7.3,5.9,30.9,,,,,,,,,,,,,,1,0,0,1,2,0,,,,,,3,1,2,0,59,38,0.64,3,0,,0,0,0
Johnny ACOSTA,WC Players,D,Costa Rica,2,163,19.1,4.3,9,27.4,,,,,,,,2,6,0.5,0,0,6,1,0,0,1,3,0,,,,,,1,0,1,0,67,48,0.72,1,0,,0,7,6
Zvjezdan MISIMOVIC,WC Players,M,Bosnia-Hercegovina,2,164,19,7.7,7.1,25.6,,,,,,,,1,1,1,0,0,2,0,0,0,0,3,0,,,,,,3,1,2,0,95,67,0.71,10,1,0.1,2,0,0
KOKE,WC Players,M,Spain,2,134,19,8.2,6.5,29.2,,,,,,,,3,1,1,0,0,10,0,0,0,0,2,0,,,,,,2,1,1,0,140,125,0.89,6,2,0.33,5,2,2
BERNARD,WC Players,F,Brazil,3,156,19,7.5,6.9,31.8,,,,,,,,0,0,,0,0,3,0,0,0,2,2,0,,,,,,1,0,1,0,75,55,0.73,11,2,0.18,4,2,2
El Arabi SOUDANI,WC Players,F,Algeria,3,167,19,4.4,8.2,28.3,,,,,,,,0,1,1,0,0,5,0,0,0,3,6,0,,,,,,,,,,42,21,0.5,2,1,0.5,0,0,0
Benoit ASSOU EKOTTO,WC Players,D,Cameroon,2,180,18.8,5.2,7.2,30.3,,,,,,,,0,6,1,0,1,10,0,0,0,3,1,0,,,,,,2,1,1,0,106,70,0.66,11,4,0.36,3,19,8
Romelu LUKAKU,WC Players,F,Belgium,4,175,18.8,7.1,5.6,28.7,1,2,3,11,1,2,1,,,,,,,0,0,0,3,0,0,0,0,1,0,0,6,6,0,0,47,29,0.62,2,1,0.5,0,0,0
Raul MEIRELES,WC Players,M,Portugal,2,159,18.8,6.5,7.7,29.6,,,,,,,,0,0,,0,0,7,0,0,0,2,0,0,,,,,,2,1,1,0,99,82,0.83,2,0,,0,1,0
Orestis KARNEZIS,WC Players,G,Greece,4,324,18.7,6,5,21.8,,,,,,,,0,0,,8,0,0,0,0,0,0,1,0,,,,,,,,,,74,53,0.72,0,0,,0,28,13
Abdelmoumene DJABOU,WC Players,F,Algeria,3,170,18.7,6.8,6.9,28.1,2,2,3,17,3,3,9,2,0,,0,0,8,0,0,0,2,5,0,1,0,2,0,0,4,3,1,0,68,40,0.59,12,3,0.25,5,0,0
Tim HOWARD,STAR,G,USA,4,390,18.6,5.1,6.9,25.7,,,,,,,,0,6,1,27,0,0,,,,,,,,,,,,,,,,172,138,0.8,0,0,,0,55,28
Aleksei KOZLOV,WC Players,D,Russia,2,152,18.6,7,7.2,29.4,,,,,,,,0,3,1,0,0,5,1,0,0,4,0,0,,,,,,,,,,83,58,0.7,0,0,,0,20,15
Yasuyuki KONNO,WC Players,D,Japan,2,180,18.6,7,5.7,28.5,,,,,,,,0,1,1,0,2,6,1,0,0,5,1,1,,,,,,1,1,0,0,147,127,0.86,0,0,,0,0,0
Tim CAHILL,WC Players,F,Australia,2,159,18.5,5.6,7.9,25.4,2,2,0,11,2,2,1,0,2,0.5,0,0,2,2,0,0,7,1,0,0,0,1,0,1,7,3,4,0,47,39,0.83,1,0,,0,1,0
Haris SEFEROVIC,WC Players,F,Switzerland,4,139,18.5,6.8,6.3,30.9,1,0,0,13,0,1,6,0,2,1,0,0,1,0,0,0,4,1,0,0,0,1,0,0,4,2,2,0,45,36,0.8,1,1,1,0,0,0
Maty RYAN,WC Players,G,Australia,3,270,18.5,5.8,8.1,26.1,,,,,,,,0,4,1,11,0,0,,,,,,,,,,,,,,,,124,105,0.85,0,0,,0,22,13
Ross BARKLEY,WC Players,M,England,3,145,18.4,7.2,5.5,30.2,,,,,,,,1,1,,0,0,1,1,0,0,2,1,0,,,,,,2,1,1,0,77,59,0.77,7,2,0.29,5,0,0
Mensur MUJDZA,WC Players,M,Bosnia-Hercegovina,2,159,18.2,7.2,7.3,29.6,,,,,,,,0,6,0.34,0,0,9,0,0,0,4,2,0,,,,,,,,,,79,63,0.8,5,1,0.2,0,13,8
